system,side,entry_time,exit_time,entry_price,exit_price,pnl,reason,signal_bid,signal_ask,spread,slip_est
③,short,2026-04-13 19:55:00,2026-04-13 19:59:58,56680.0,56740.0,-60.0,SL到達,56685.0,56680.0,-5.0,-5.0
③,short,2026-04-13 18:55:00,2026-04-13 19:59:59,56695.0,56755.0,-60.0,SL到達,56705.0,56700.0,-5.0,-10.0
③,short,2026-04-13 19:05:00,2026-04-13 19:59:59,56685.0,56755.0,-70.0,SL到達,56690.0,56685.0,-5.0,-5.0
③,short,2026-04-13 19:25:00,2026-04-13 19:59:59,56685.0,56755.0,-70.0,SL到達,56685.0,56680.0,-5.0,0.0
③,short,2026-04-13 19:30:00,2026-04-13 19:59:59,56695.0,56755.0,-60.0,SL到達,56700.0,56695.0,-5.0,-5.0
③,short,2026-04-13 19:44:59,2026-04-13 19:59:59,56690.0,56755.0,-65.0,SL到達,56690.0,56685.0,-5.0,0.0
③,short,2026-04-13 19:50:00,2026-04-13 19:59:59,56695.0,56755.0,-60.0,SL到達,56700.0,56695.0,-5.0,-5.0
③,short,2026-04-13 19:00:00,2026-04-13 20:00:00,56705.0,56780.0,-75.0,SL到達,56700.0,56695.0,-5.0,5.0
③,short,2026-04-13 19:10:00,2026-04-13 20:00:00,56720.0,56780.0,-60.0,SL到達,56720.0,56715.0,-5.0,0.0
①,long,2026-04-13 20:05:00,2026-04-13 20:21:32,56775.0,56710.0,-65.0,SL到達,56775.0,56770.0,-5.0,-5.0
①,long,2026-04-13 20:10:00,2026-04-13 20:24:50,56745.0,56685.0,-60.0,SL到達,56750.0,56745.0,-5.0,0.0
①,long,2026-04-13 20:15:00,2026-04-13 20:24:50,56745.0,56685.0,-60.0,SL到達,56745.0,56740.0,-5.0,-5.0
③,short,2026-04-13 20:25:00,2026-04-13 20:56:28,56690.0,56450.0,240.0,TP到達,56690.0,56685.0,-5.0,0.0
③,short,2026-04-13 20:50:00,2026-04-13 21:18:22,56535.0,56595.0,-60.0,SL到達,56540.0,56530.0,-10.0,-5.0
③,short,2026-04-13 20:40:00,2026-04-13 21:34:46,56550.0,56610.0,-60.0,SL到達,56550.0,56545.0,-5.0,0.0
①,long,2026-04-13 21:35:00,2026-04-13 21:37:11,56590.0,56530.0,-60.0,SL到達,56595.0,56590.0,-5.0,0.0
①,long,2026-04-13 21:30:00,2026-04-13 21:37:48,56580.0,56520.0,-60.0,SL到達,56585.0,56580.0,-5.0,0.0
①,long,2026-04-13 21:25:00,2026-04-13 21:43:14,56560.0,56500.0,-60.0,SL到達,56565.0,56560.0,-5.0,0.0
③,short,2026-04-13 20:45:00,2026-04-13 22:20:34,56575.0,56635.0,-60.0,SL到達,56580.0,56575.0,-5.0,-5.0
③,short,2026-04-13 20:34:59,2026-04-13 22:25:34,56620.0,56680.0,-60.0,SL到達,56620.0,56610.0,-10.0,0.0
③,short,2026-04-13 20:30:00,2026-04-13 22:25:38,56625.0,56690.0,-65.0,SL到達,56625.0,56620.0,-5.0,0.0
①,long,2026-04-13 22:05:00,2026-04-13 22:48:48,56585.0,56825.0,240.0,TP到達,56590.0,56585.0,-5.0,0.0
①,long,2026-04-13 22:10:00,2026-04-13 22:48:49,56590.0,56845.0,255.0,TP到達,56590.0,56585.0,-5.0,-5.0
①,long,2026-04-13 22:15:00,2026-04-13 22:49:14,56620.0,56885.0,265.0,TP到達,56620.0,56615.0,-5.0,-5.0
①,long,2026-04-13 22:20:00,2026-04-13 22:49:14,56620.0,56885.0,265.0,TP到達,56620.0,56615.0,-5.0,-5.0
①,long,2026-04-13 22:25:00,2026-04-13 22:49:15,56650.0,56905.0,255.0,TP到達,56650.0,56645.0,-5.0,-5.0
①,long,2026-04-13 22:30:00,2026-04-13 22:49:24,56695.0,56935.0,240.0,TP到達,56700.0,56695.0,-5.0,0.0
①,long,2026-04-13 22:35:00,2026-04-13 22:49:24,56695.0,56935.0,240.0,TP到達,56700.0,56695.0,-5.0,0.0
①,long,2026-04-13 22:40:00,2026-04-13 22:49:24,56695.0,56935.0,240.0,TP到達,56700.0,56695.0,-5.0,0.0
①,long,2026-04-13 22:45:00,2026-04-13 22:49:24,56695.0,56935.0,240.0,TP到達,56695.0,56690.0,-5.0,-5.0
①,long,2026-04-13 22:50:00,2026-04-13 22:52:06,56980.0,56915.0,-65.0,SL到達,56985.0,56980.0,-5.0,0.0
①,long,2026-04-13 23:00:00,2026-04-13 23:02:06,57040.0,56980.0,-60.0,SL到達,57045.0,57040.0,-5.0,0.0
①,long,2026-04-13 23:45:00,2026-04-13 23:48:12,57110.0,57050.0,-60.0,SL到達,57115.0,57110.0,-5.0,0.0
①,long,2026-04-13 23:35:00,2026-04-13 23:49:23,57090.0,57020.0,-70.0,SL到達,57095.0,57090.0,-5.0,0.0
①,long,2026-04-13 22:55:00,2026-04-13 23:50:00,56925.0,57035.0,110.0,夜間終了強制決済,56925.0,56920.0,-5.0,-5.0
①,long,2026-04-13 23:05:00,2026-04-13 23:50:00,57020.0,57035.0,15.0,夜間終了強制決済,57020.0,57015.0,-5.0,-5.0
